Ê±¼ä,ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É)
2015-09-10,23.11,12057032
2015-09-11,23,9147166
2015-09-14,21.29,16673190
2015-09-15,20.62,12380043
2015-09-16,22.49,16059944
2015-09-17,21.8,14351713
2015-09-18,21.8,8516750
2015-09-21,22.35,11551600
2015-09-22,22.73,18762919
2015-09-23,23.06,17772014
2015-09-24,22.82,14680475
2015-09-25,21.5,12880450
2015-09-28,22.06,7511456
2015-09-29,21.01,10020184
2015-09-30,21.23,6546528
2015-10-08,21.96,11128649
2015-10-09,22.21,10535527
2015-10-12,23.19,19727529
2015-10-13,23.2,14019658
2015-10-14,22.78,13352998
2015-10-15,23.63,18613048
2015-10-16,23.59,18213940
2015-10-19,24.17,22385264
2015-10-20,24.09,14881433
2015-10-21,22.72,20160012
2015-10-22,23.12,13764459
2015-10-23,23.82,16634887
2015-10-26,24.6,24953004
2015-10-27,23.92,28211287
2015-10-28,23.01,18960956
2015-10-29,23.25,10677168
2015-10-30,22.8,14431808
2015-11-02,22.4,9806703
2015-11-03,22.2,9388079
2015-11-04,23.3,16830738
2015-11-05,23.8,29466580
2015-11-06,24.1,23082895
2015-11-09,24.43,26213927
2015-11-10,24.34,20271953
2015-11-11,24.7,21993040
2015-11-12,24.44,18920048
2015-11-13,24.13,18523733
